game_id,description,max_playtime,min_age,min_playtime,name,playing_time,year_published,artist,category,designer,family,mechanic,publisher,average_rating,users_rated,range_of_players
934,"extrapolated from session report:&#10;&#10;The theme of the game is based on the legendary necklace of Saba, which went to the grave with its owner upon her death. Sadly, dastardly grave robbers plundered the tomb and the valuable gems which comprised the necklace were scattered across the globe. Now, a wealthy sheik is anxious to reassemble the necklace and present it as a gift to his lovely bride. Players are charged with the task of assisting the sheik, attempting to purchase the many gems at auction and then reassemble the necklace in the proper fashion.&#10;&#10;The board depicts the frame of the necklace, with space for its 36 missing gems. In total, there are 44 gems in the deck, many of which will ultimately prove to be forgeries. Depending upon the number of players, each player receives from 3 - 7 gems to begin the game, along with $20,000. Four gems are revealed from the remainder of the deck and positioned into the frame.&#10;&#10;The game is played in two major phases. During the first phase, players alternate placing a gem up for auction, ala Modern Art. The auctioneer receives the funds from the high bidder, who receives the gem. The winner has the option of keeping the gem, or placing it into the frame. If placed in the frame, the gem earns $2,000 for other gems it touches and those radiating from it in straight lines, including itself. During phase 2, the reward is reduced to only $1,000 per gem.&#10;&#10;Following an auction, the auctioneer has the opportunity to purchase another gem from the deck for $2,000.  &#10;Phase 1 ends when the gem deck expires. Phase 2 then begins with players reconstructing the necklace. In turn, each player places a gem into the frame and earns funds as described above.&#10;&#10;The twist in the game are the rules which must be followed in reconstructing the necklace. The main rules are:&#10;&#10;&#10;     The necklace must be symmetrical, with left and right halves containing the same jewels in the same places. All cards appear twice in the game, so what appears on the left side must appear in the same position on the right side. The only exception to this is the center column. Any duplicate pieces are considered forgeries and are worthless. &#10;&#10;&#10;&#10;     Pieces of jewelry containing the same type of gem must be placed in uniform columns. Thus, the first gem placed in a column dictates what kind of gem must appear in that same column. &#10;&#10;&#10;&#10;     The number of gems on a card can only be one greater than the number of gems on the cards directly above it. &#10;&#10;&#10;Once the first gem is placed in a column, it 'locks' that column AND the corresponding symmetrical column. Only gems which meet the above rules can subsequently be placed there.&#10;&#10;The game ends once the necklace is completed. The player with the most money is victorious.&#10;&#10;",60,8,60,Die Kette von Saba,60,1984,Wolfgang Friedrich,Economic,Martin Ebel,Tube Games,"Auction/Bidding,Tile Placement","Queen Games,Edition Perlhuhn (Göttinger Spiele)",5.36667,75,7-8 Players
949,"Twixt is a 2-player abstract game invented by Alex Randolph. TwixT is a &quot;connection-type&quot; game, very similar to Hex. Other related games are Havannah and The Game of Y. &quot;Connection type&quot; means the object is to form a path connecting something to something else. This requires very different thinking from the standard battle-type game such as chess or checkers.&#10;&#10;Some old US sets mention a 4-player variant, with 2 teams as in Bridge, but this probably wasn't Randolph's idea.  The game was popular in the 60s and 70s as part of the 3M Bookshelf Series. Avalon Hill then acquired the series and issued the game themselves. Several European publishers have sold the game as well.&#10;&#10;Twixt employs a pegboard, pegs and links.  The playing surface is a 24x24 square pegboard, usually minus the corner holes, with two opposite sides marked with one player's color and the other two sides marked with the other player's color.  Each player has a supply of pegs and links of their color.  50 of each piece type of each color, a total of 200, is an ample supply. Players alternate turns placing pegs and links, if possible, in attempt to have a continuous path of links connecting the two sides of the board with their color.&#10;&#10;After the 3M edition, Randolph added the pie rule. After the first peg is placed, the opponent has the option to swap sides. This reduces the imbalance from the first move advantage.&#10;&#10;On your turn you place one peg of your color on the board, and then add or rearrange your color links. Pegs may be placed in any vacant hole in the board except the corners and the last row on the sides of the opposing player. When two pegs of the same color are at opposite corners of a six hole rectangle (3x2 or 2x3), a link may be placed between those two pegs.  Links may not be placed such that they cross other links.  Multiple links may be added on a single move. Usually, all links are to the peg just placed, but on your move you are allowed to remove as many of your own links as you wish, and add your own links anywhere on the board as long as they are legal as described here.&#10;&#10;When a player connects his two sides with a continuous path of links, he prevents his opponent from doing the same, the game is over, and the player connecting his two sides wins the game. If neither side can complete such a path, the game is a draw.&#10;&#10;",30,12,30,Twixt,30,1964,(Uncredited),Strategy,Alex Randolph,"3M Bookshelf Series,Connection Games",Route/Network Building,"3M,Alga,Avalon Hill,Dujardin,Felsberger,Klee,KOSMOS,rhön-plastik,Schmidt Spiele,Selecta Spel en Hobby",6.58231,2004,3-4 Players
963,"The Gardens of Alhambra is an abstract influence game from Dirk Henn where each player is represented by plants of a particular color.  Using tiles with all four colors on them, the players place them onto the board in fixed locations.  In doing so, they try to surround victory point markers and capture them.  Of course, since each tile has all of the player's colors represented, every tile placement must be carefully thought-out so that you maximize your points while minimizing them for your opponents.  Ties disqualify players - and so the next highest color total will earn the points.  The player with the most victory points at the end of the game is the winner.&#10;&#10;",60,8,45,The Gardens of the Alhambra,60,1993,"Christian Bohr,Jo Hartwig",Strategy,Dirk Henn,"Alhambra,Cities: Granada","Area Control / Area Influence,Tile Placement","Queen Games,db-Spiele",6.1408,1156,3-4 Players
1002,"Cosmic Eidex is an intriguing little trick-taking game for 3 players. The deck consists of 36 cards, 6 thru Ace, in four suits: Hearts (red), Lizard (green), Raven (black) and Stars (yellow). The Cosmic characters are the heart of the game, providing each player with a special Cosmic power. Each player draws one randomly at game start.&#10;&#10;In Cosmic Eidex, the idea is to take either the most points or the least points (designated by the trump and rank of the cards that you take each hand), to earn a victory point. If in a hand, one player exceeds 100 card points, then the other two players get 1 victory point each. If one player takes all of the tricks, she receives 2 victory points. Seven victory points wins the game.&#10;&#10;Cosmic Eidex is a mutation of the ages-old Swiss trick-taking card game Jass. Like Skat, the traditional German trick-taking card game, it is a three-player game.&#10;&#10;The Cosmic-like powers each player is given are relatively weak. Most allow the player to break one of the rules once per game (before, during or after), some can be used multiple times. You don&rsquo;t need to know every characters' powers, just the powers of the three characters used in the current game. There are as many character/power possibilities as there are cards, but wise card play usually outweighs their influence.&#10;&#10;",60,10,60,Cosmic Eidex,60,1998,Res Brandenberger,Card,Urs Hostettler,Jass,"Trick-taking,Variable Player Powers","ABACUSSPIELE,Fata Morgana Spiele",6.89194,427,3-4 Players
1012,"Die Drei Magier is a roll-and-move game for three players 10 years and up. The players move their magician and apprentice tokens on the game board, and try to pick up 7 different tarot cards from the 7 locations depicted on the board. To pick up a card, a player has to either move his/her apprentice and magician onto the same location (if the location still has a card left), or duel with another player, if the two players' magicians end up on the same location.&#10;&#10;Die Drei Magier is the first game in Noris' Fantasy trilogy, with Das Blaue Amulett and Der Feuersalamander being the second and third.&#10;&#10;",60,10,60,Die Magier,60,1985,Johann Rüttinger,Fantasy/Sci-Fi,"Johann Rüttinger,Michael Rüttinger",Noris' Fantasy trilogy,"Roll / Spin and Move,Set Collection","Dourios,Noris Spiele",5.69252,107,3-4 Players
1013,"Players are responsible for fulfilling the energy requirements for their countries throughout the years.  Each year there are exactly enough resources to fulfill and the players have to decide which resources to claim for themselves.  It's a simultaneous selection of the resources, so you don't know what the others are choosing.  Sometimes you don't quite fill all your energy needs, so you have to buy resources from other players or the bank to cover.  Action and event cards modify the energy market from year to year, and clever play of these cards can turn the tide of the game.  The player with the most cash at the end of the game wins.&#10;&#10;Even though the game says it supports up to 5 players, the fifth player's responsibility is to be the banker.&#10;&#10;",60,10,60,Energie Poker,60,1980,,Economic,Jürgen Herz,,"Auction/Bidding,Commodity Speculation,Simultaneous Action Selection",ASS Altenburger Spielkarten,6.68462,65,3-4 Players
1017,"Players are trying to build the shortest path from the factories to their outlets.  As buildings and outlets are placed out on the board, the unforgiving road must connect them all, and in doing so may foil the others plans of providing the freshest fish.  A real brain burner.&#10;&#10;",60,12,60,Fresh Fish,60,1997,"Angela Gaalema,Wolfgang Lock",Strategy,Friedemann Friese,"Admin: Better Description Needed!,Animals: Fishes",Tile Placement,"2F-Spiele,Plenary Games",6.66109,848,5-6 Players
1035,"A shot disturbs the eerie silence of a deserted city street, punctuated by the frantic footfalls of men seeking cover. One of Kruger&rsquo;s last veteran nco&rsquo;s lies motionless in the street. The remnants of the dead man&rsquo;s squad are nowhere to be seen&mdash;scattered in nearby houses and gutters&mdash;all thoughts the advance abandoned with the stunned demise or their leader...the compulsion for revenge obviously overcome by their instinct for self-preservation. Off to the right, Kruger&rsquo;s own men have located the source of the lethal shot and are laying down a steady stream of fire on the church steeple directly ahead. The absence of responding fire suggests that the lone Russian marksman has beat a hasty retreat of been victimized by the withering fire of the German retort. Kruger has seen enough. He is to occupy the church and set up a regimental observation post at once. His orders leave no leeway for delays by a single sniper. He gives the signal to rush the building. Obedient their training, his men, veterans of France, the Balkans, and 18 months of fighting in Russia, spring to their feet. Seconds later the sharp, staccato retort of a Russian machinegun concludes the assertiveness of death itself that this time Kruger was wrong...&#10;&#10;This is Squad Leader...a game of WWII tactical combat in Europe. Now you make the instant decisions resulting in life or death for your men, victory or defeat for your army...for YOU are the Squad Leader. YOU direct the fire against your squad, select your plan of attack, or set your defenses against massed Russian human wave or armour assaults. Will that hedgerow provide adequate cover for your flanking efforts, or will your men be cut down by the American machinegun position in the woods? The decision is irrevocable and yours alone. You must live or die by the results.&#10;&#10;Squad Leader utilizes programmed instruction to guide you through 12 scenarios of increasing realism and complexity. The scenarios run the gamut from street fighting in Stalingrad to armoured advances across snow covered roads in the Ardennes. A Campaign Game ties the individual scenarios together and allows you own personal leader counter to advance in rank and ability. In addition, a &ldquo;Design You Own&rdquo; section is included so that players can create an unlimited number of play situations of their own creation.&#10;&#10;Each hex in Squad Leader represents 40 meters or real terrain with counters representing individual leaders, support weapons, and vehicles of 4 man crews and 12 man squads. Each game turn is divided into 8 phases equivalent to two minutes of actual time.&#10;&#10;Squad Leader is more than just a game, it is a game system which can be used to portray any WWII infantry action. Its innovative system does for infantry combat what Panzerblitz and Panzer Leader have done for armoured warfare games. Squad Leader provides innovative rules for morale, leadership, machineguns, flamethrowers, demo charges, smoke, hidden placement, sewer movement, off-board artillery, radio contact, anti-tank guns, night actions, wire, entrenchments, mines, bunkers, rubble, multi-story building differentiation, fire, river crossings, roadblocks, mortars, and much more.&#10;&#10;Be forewarned! Squad Leader is not an easy game. Do not attempt it without prior wargaming experience. Squad Leader is rated Tournament Level IV on the A.H. Complexity scale.&#10;&#10;In each game you get:&#10;&#10;&#10;    520 two-sided &frac12;&rdquo; die cut counters representing the men and weapons of the German, Russian, and American armies of WWII.&#10;    192 two-sided &#226;&#133;&#157;&rdquo; die cut counters representing fortifications and individual vehicles of the combatants.&#10;    Big 22&rdquo; x 28&rdquo; four section, full-colour GEOMORPHIC mapboard which can be arranged to make literally hundreds of different terrain configurations that can represent large cities, small villages, wooded hillsides, or even the flat plains of the Ukraine. &#10;    Comprehensive, illustrated 36-page rules of play and designer&rsquo;s notes booklet.&#10;    Scenario cards for the first 12 carefully construction game situations.&#10;    Two highly refined Quick Reference Data Cards which reduce the complexities of a realistic infantry combat game into easily playable proportions. &#10;&#10;&#10;",60,14,60,Squad Leader,60,1977,"Richard Hamblen,Rodger B. MacGowan,W. Scott Moores","Wargame,World War II",John Hill (I),Squad Leader Series,"Dice Rolling,Hex-and-Counter,Modular Board,Simulation","Arsenal Publishing, Inc.,Avalon Hill,Wydawnictwo Gołębiewski",7.4724,2677,1-2 Players
1036,"In Speculation, players buy and sell shares of stock, trying to have the most money at the end of the game.&#10;&#10;Each player has a hand of nine cards; eight of them match the company shares that are available for purchase, while the ninth card is a &quot;Bank Holiday&quot; card. Each of the eight companies has 2-5 shares available, depending on the number of players, and each player starts with a randomly drawn share. At the start of the game, place six movement tiles (numbered 1-6) in one bag and six action tiles (trade x3, rank +1, rank -1, no action) in another bag.&#10;&#10;Each round, the starting player draws one tile from each bag. If he draws a rank +1 or rank -1, he moves one share price indicator (a.k.a. &quot;brick&quot;) of his choice up or down one rank on the movement track that organizes the company bricks. If he draws a trade, each player buys and/or sells one share to the bank. Players then simultaneously choose one of the two cards in their hand and reveal them. If no one played a bank holiday card, then in turn order, the brick associated with each company card advances on the movement track a number of spaces equal to the movement tile drawn, ignoring occupied spaces. The value of a company's shares depends on the location of its brick on the movement track and its position relative to all of the other bricks. If one or more bank holiday cards were played, the bricks move only half the distance or don't move at all.)&#10;&#10;Players each draw a new card, and the bags pass to the next player in clockwise order, who becomes the starting player for the next round. If a trade tile was drawn, return all tiles to their respective bags first. The rounds continue until one or more company bricks reach the end of the movement track. At the end of that round, players cash out their holdings and whoever has the most money wins.&#10;&#10;",45,10,45,Speculation,45,1992,Harald Lieske,Economic,Dirk Henn,"Crowdfunding: Kickstarter,Queen Yellow Wave Box Series","Commodity Speculation,Dice Rolling,Stock Holding","db-Spiele,Queen Games",6.77361,569,5-6 Players
1053,"ORBIT comprises three games by Alex Randolph, Orbit, Harun and Corona. Corona and Harun (originally Moonstar!) were previously published separately. Orbit is a new game.&#10;&#10;Re-implements:&#10;&#10;    Corona&#10;    Harun&#10;&#10;&#10;&#10;&#10;",45,12,45,Orbit,45,1993,Franz Vohwinkel,Strategy,Alex Randolph,,"Auction/Bidding,Dice Rolling",KOSMOS,6.37288,59,5-6 Players
1082,"Invers is a two-player abstract game in which players alternately slide tiles out of a 6x6 grid and flip them over. One face is plain red or yellow, the other is a red or yellow dot. On your next turn you push the inverted tile into the grid, forcing another tile out. You only invert the tiles once to show the dot side and you cannot slide out the opponent's dot. Gradually the board locks up, unless you start sliding out your own flipped tiles. Winner is the first to invert all their tiles, or have the most flipped when no further moves are possible.&#10;&#10;",20,7,20,Invers,20,1991,,Strategy,Kris Burm,,Tile Placement,"Peri Spiele,Perner Produktions GmbH",6.00924,92,1-2 Players
1107,"In each opening round of the trick-taking card game Nyet!, players take turns crossing out possible choices for starting player, trump, super trump, the number of cards you discard, and the value of tricks taken on a grid, leaving only one option in each category. Once the starting player is determined, that player chooses a partner, then the teams play out the round based on the conditions they collectively chose.&#10;&#10;",30,10,30,Nyet!,30,1997,"Biboun,Franz Vohwinkel",Card,Stefan Dorra,"Admin: Better Description Needed!,Country: Russia,Country: Soviet Union,Goldsieber à la Carte","Hand Management,Trick-taking","GoKids 玩樂小子,Goldsieber Spiele,Heidelberger Spieleverlag,IELLO,Portal Games,uplay.it edizioni",6.85795,1286,5-6 Players
1110,"Players sell goods (Salt, Gold, Silk, Spices, Tea) in a market where prices are always in flux.  Through these sales, bribes and exchanges, players will try to score points.&#10;&#10;",45,10,45,Kathai,45,2000,Jürgen Martens,Card,Michael Andersch,,"Set Collection,Trading",Adlung-Spiele,5.76748,163,5-6 Players
1125,"This is a game where the players bid for sets of colored cubes (in the colors of the players) and the winner of the bid places the cubes on the areas of the board. At a given point, the player with the majority of cubes on an area gets that property. At the end of the game all properties are sold and the winner is the one that has more money.&#10;&#10;",30,10,30,Big Shot,30,2001,"Atelier Wilinski,Klaus Wilinski",Economic,Alex Randolph,,"Area Control / Area Influence,Auction/Bidding,Dice Rolling","Grow Jogos e Brinquedos,Ravensburger Spieleverlag GmbH",6.49771,375,3-4 Players
1142,"&quot;The game where uncertainty reigns&quot;&#10;&#10;To win, you capture the crown located at the center of the board and return it to your base. You may move in any direction in a straight line. However the number of spaces you move is determined by the total number of pieces on the horizontal row where you start your move. You cannot jump pieces, but you may capture by landing on a piece. Land on the crown to capture it. But beware - your move may be sabotaged by your opponent at any moment.&#10;&#10;",30,8,30,Sabotage,30,1985,,Strategy,(Uncredited),,Point to Point Movement,"Lakeside,Piatnik,Spear's Games",5.77937,63,1-2 Players
1173,There is only one pawn for all the players. It will move around the circular track with every roll of the dice. Players win or lose money depending which color space the pawn lands on. Betting on where the pawn lands is the essence of the game.&#10;&#10;,45,10,45,Millionenspiel,45,1982,,Dice,Rüdiger Koltze,,"Betting/Wagering,Roll / Spin and Move","Majora,Otto Maier Verlag,Ravensburger Spieleverlag GmbH",5.93818,77,5-6 Players
1187,"A game centered on the action of the first book of the Lord of the Rings by J. R. R. Tolkien, one player plays the Fellowship, deploying his heroes in an attempt to misdirect and deceive the other player, who plays Sauron with the evil Nazgul and Balrog under its control.  Takes many of the ideas from the character game of War of the Ring by SPI and expands upon them.&#10;&#10;",240,13,240,The Fellowship of the Ring,240,1983,"Terry Amthor,Rick Britton,Leonard Cook,Gail McIntosh,Charles Peale",Fantasy/Sci-Fi,"Coleman Charlton,Bruce Neidlinger",Tolkien Games,"Hex-and-Counter,Secret Unit Deployment",Iron Crown Enterprises,6.09724,254,1-2 Players
1188,"A game created by Games Workshop in the mid 80s that puts each player in the position of being an orcish general who must muster his troops into three battle lines in preparation of attacking the dwarves.  Each player begins with a blank card mat which is slowly filled with cards that represent different units of orcs, goblins, war machines, and treasure.  Each card has its own rules which affect play.&#10;&#10;Once a battle line is completed with a standard at the front, a musician at the rear, and all the spaces filled in between, it can be used to disrupt another player's unfinished battle line.  The games ends when a player has all three lines completed.  Each card has a point value which is then tallied and added to a bonus score for any completed battle lines.  The winner is the player with the highest score.  Also, many of the cards used to relate to old Citadel ork and goblin miniatures, in theory.&#10;&#10;Re-implemented by:&#10;&#10;    Chaos Marauders (second edition) (Fantasy Flight Games, 2009)(See summary of differences)&#10;&#10;&#10;&#10;&#10;",45,10,45,Chaos Marauders,45,1987,"John Blanche,Charles Elliot (I)","Card Game,Fantasy",Stephen Hand,"Ogallala Series,Warhammer Fantasy Card Games","Set Collection,Tile Placement",Games Workshop Ltd.,5.91756,459,3-4 Players
1190,"Continuo is a small tile placement game. After the initial setup of four tiles, players take turns adding tiles onto the edges of previously laid tiles, scoring points for creating aligned paths of colors. One point is awarded for each smaller square in a new path giving a score of 2 to 30 or more depending upon the length of the path. Play continues until all tiles have been used.  The highest score wins.&#10;&#10;",20,4,20,Continuo,20,1982,,Strategy,Maureen Hiron,"Continuo,Mensa Select",Tile Placement,"AMIGO Spiel + Freizeit GmbH,Casper,Early Learning Centre,Fidelity Electronics,Game Factory,Hiron Games,Peliko,Samuel Ward Co.,Schmidt Spiele,Spear's Games,Stragoo Games,U.S. Games Systems, Inc.",5.27819,353,5-6 Players
1207,"Big Deal is a game of corporate business deals. Players are big investors (and I mean big - the smallest notes are $50 million and billions of dollars change hands) and wheeler-dealers.&#10;&#10;Players acquire shares in companies, primarily randomly (picked up as cards), but also possibly through purchase of other players' previous sales. To form the companies they must also acquire resources, which are bought from 4 sets. The pricing mechanism for these is like Palmyra and McMulti - each purchase increases the price and each sale decreases it. Once an appropriate set is acquired for a matching set of (at least two) shares in a company, the company can be formed. Companies pay income to their owners each turn. They can also be sold off at a premium, or split up (provided the owner has enough shares and resources) to gain double income. The real heart of the game comes in the option to conduct hostile takeovers. A player lays one or more shares in a company owned by another player and then starts a bidding war to takeover the company. Each player is bidding to buy the shares of the opponent (bids are per share). The &quot;winner&quot; gets the company and all the shares, the &quot;loser&quot; is paid off at the final bid price. Who is actually the winner and loser depends, of course, on the balance of the final price.&#10;&#10;There is a sudden death variable finish, when assets plummet in value, so there is a tense few final rounds when players can try to realize assets while they are still valuable. During this period the judgment of takeover prices becomes even more tricky (and a gamble).&#10;&#10;",120,12,120,Big Deal,120,2001,Franz Vohwinkel,Economic,"Tzvika Harpaz,Yoel Rotem,Roy Wagner,Gal Zuckerman",,"Auction/Bidding,Stock Holding",AMIGO Spiel + Freizeit GmbH,5.50273,110,5-6 Players
1249,"Safari Jack contains 60 cards and a rulebook.  Players build the safari landscape, explore the safari and, well, kill endangered species.  Kill the most by game end to win the game!&#10;&#10;Safari Jack was re-released in 2003 as part of the Hip Pocket Games series.  This version features color cards, but supports only two players.  The rulebook mentions that a second copy may be added to support up to four players.&#10;&#10;",30,10,30,Safari Jack,30,1998,,Strategy,James Ernest,"Hip Pocket Games,Safari",Tile Placement,Cheapass Games,5.34699,266,3-4 Players
1258,"A rummy-type card game where players compete to be the first to finish completing all ten phases.  Phases include collecting runs of numbers, collecting certain number of a given color cards, etc.  The first player to finish completing the 10th phase wins.  In case of ties, the player with the fewest number of points wins.&#10;&#10;Contents:&#10;&#10;     Reference Cards (2)&#10;     Deck of 108 Cards:&#10;         24 x Red Cards (2 x 1-12)&#10;         24 x Blue Cards (2 x 1-12)&#10;         24 x Green Cards (2 x 1-12)&#10;         24 x Yellow Cards (2 x 1-12)&#10;         4 x Skip Cards&#10;         8 x Wild Cards (2 x 4 Colors)&#10;    &#10;     Instructions&#10;&#10;&#10;&#10;&#10;",45,8,45,Phase 10,45,1982,(Uncredited),Card,Kenneth Johnson,"Phase 10,Ravensburger Kartenspiele,Rummy Games",Set Collection,"Canada Games,Casper,Crown & Andrews Ltd.,Editrice Giochi,F.X. Schmid,Fundex,Global Partner,K & K International,Mattel,Modiano,Ravensburger Spieleverlag GmbH,Tactic,U.S. Games Systems, Inc.,Winning Moves UK Ltd.",5.10043,5015,5-6 Players
1262,"From the publisher's website:&#10;&#10;Axis &amp; Allies Pacific is the second stand-alone game expansion to the Axis & Allies game system. In this game, three main powers (Britain, Japan, and the US) square off against each other against the backdrop of the Pacific ocean. Japan is trying to grow her empire, either through military might or by holding off the Allies long enough to consolidate her gains.&#10;&#10;The game adds a few new rules and a few new twists to the established A&amp;A game system. Naval bases and air bases turn small, meaningless islands into vital strategic holdings. Convoy zones allow a single submarine pack to cripple an economy. The Chinese forces, while limited, are hard to crush. Japan gets her kamikazes, but will it be enough to hold off the vast economic power of the USA?&#10;&#10;",240,12,240,Axis & Allies: Pacific,240,2001,Bill Concannon,"Wargame,World War II","Stephen Baker,Rob Daviau,Larry Harris, Jr.","Asian Theme,Axis & Allies","Area Control / Area Influence,Area Movement,Partnerships",Avalon Hill (Hasbro),6.65389,1746,3-4 Players
1269,"Each player is dealt a stockpile of 30 cards. The winner will be whoever manages to empty their stockpile first. Cards are played onto four shared building piles in numerical sequence from 1 to 12. On each turn, a player draws until they have five cards in their hand, and then plays cards from: their hand, a top card of their discard piles, or their stockpile. At the end of their turn, a player must discard onto one of their four personal discard piles. Strategy involves the organizing of cards into the discard piles, care in not setting up the next players for good plays, knowing when to play from which option, and especially the timing of playing a valuable &quot;Skip-bo&quot; wildcard.&#10;&#10;Skip-bo is based on the traditional card game named Spite & Malice.&#10;&#10;",20,8,20,Skip-Bo,20,1967,,Card,"Hazel ""Skip"" Bowman ","Shedding Games,Skip-Bo",Hand Management,"AMIGO Spiel + Freizeit GmbH,Gibsons Games,International Games,Mattel,The Skip-bo Company,Tomy,Waddington's Games, Inc.",5.34671,3819,5-6 Players
1271,"Volltreffer (Bullseye) is a trick taking game with three phases. In the first phase you buy your hand of cards one at a time, until all players have 8 cards. In the second phase, each player may play melds (3 of a kind, all 5 colors, smallest sum etc.) for points. The third phase is a standard trick-taking card game where you must follow suit with each trick worth points. The winner is the player who comes closest to the target score of 66 points.&#10;&#10;",30,10,30,Volltreffer,30,1999,,Card,Günter Burkhardt,,Trick-taking,Berliner Spielkarten,6.62069,58,5-6 Players
1291,"Input is a two player game by Milton Bradley.  Each player gets the same set of pieces, and must deploy them to eliminate the opposing side.  Each piece has a movement track printed on it, and can only move from one space to the next in the program.  Used pieces can either exit the playfield, or repeat the path.&#10;&#10;",20,10,20,Input,20,1984,,Strategy,(Uncredited),,"Action / Movement Programming,Grid Movement,Tile Placement",Milton Bradley,5.57083,120,1-2 Players
1295,"Pente is an abstract strategy game.  Players place glass markers on intersections of a 19-by-19 grid (the same as in Go).  The object of the game is to get five of your own markers in a row (4 with more than 2 players) or capture five pairs of your opponent's pieces.  The first to do either wins.  Capturing takes place when exactly two pieces are sandwiched between pieces of the opposite color. There are multiple variations of the game for greater challenge and complexity.  The 20th anniversary edition is a deluxe version of the game with a large color game instruction book, quality game board, and six sets of different colored glass markers that allows play with up to 6 players.&#10;&#10;Other five-in-a-row games include Go-Moku and Renju (which do not feature capturing), and Ninuki-Renju (which does).&#10;&#10;Similar to:&#10;&#10;&#10;    5ive Straight&#10;    Take 5&#10;    5 in a Row&#10;    Go-Moku&#10;    Renju&#10;&#10;&#10;",30,8,30,Pente,30,1977,,Strategy,"Tom Braunlich,Gary Gabrel","n in a row,Tube Games",Pattern Building,"(Self-Published),Clipper,Decipher,Estrela,Gabriel,MB Jeux,MB Spellen,Milton Bradley,Miro Company,Parker Brothers,Parker Spiele,Pente Games,Winning Moves France,Winning Moves Games (USA)",6.62038,2311,1-2 Players
1302,"Cosmic Wimpout is &quot;More than an Experience, It's a game!&quot; In the family of push-your-luck dice games that garners great love, mostly through word-of-mouth marketing. It was a cult-game phenomenon in the Grateful Dead universe. The game flourished with the help of college students and Deadhead fans.&#10;&#10;You play by rolling the five Cosmic Wimpout cubes and get points for each 5, 10, or Flash (triplet) that you roll. You can accumulate points towards the winning total by ending your turn or risking it all, because if you roll and don't score, you lose all the points for that turn, and the next player goes. Thus like life, &quot;Sometimes you are in the cosmos, and sometimes you wimp out.&quot; After certain results, a player may choose to end his turn, scoring the points he has accumulated. The first player to reach an agreed-upon score wins (300-600 for a short game with scores kept on paper, 1000-1500 more typically on the game boards), and the game can fit into a small dice tube.&#10;&#10;Throughout the years, several variations of dice designs have made early versions of the game collectible. There are several silk-screened fabric boards that vary the game length and require the player to use a personalized or improvised pawn.&#10;&#10;Numerous variants and house rules exist, and players are encouraged to change the rules (by unanimous agreement), even during the game.&#10;&#10;",20,7,20,Cosmic Wimpout,20,1975,,Dice,"Boston Logical Society,W. W. Swilling","Dice 10,000 games,Tube Games","Dice Rolling,Press Your Luck,Set Collection","(Self-Published),C3, Inc.,Koplow Games",5.91929,940,7-8 Players
1312,"The circular game board consists of 24 spaces, each with three sections. The spaces are valued from 100 to 2400. Each space is available for sale. In a preliminary round, players may buy two spaces. Then the regular game is played in a series of rounds. Players try to reach spaces with the highest value. The player who does so wins the round, collects money from the other players, and may buy another space. The winner is the player who owns six spaces or has the most cash, depending on the way the game ends.&#10;&#10;",45,8,45,Nur Peanuts!,45,2001,Franz Vohwinkel,Economic,Heinz Meister,,Roll / Spin and Move,Goldsieber Spiele,6.06705,220,5-6 Players
1317,"The title means &quot;On the wrong track&quot; and, in this trick-taking game, that's just where you can find yourself.  Players compete to take either the most or the fewest tricks, depending on the total value of a few hidden cards played at the beginning of each hand.  Problem is, however, players aren't sure whether most or least is good until after all 4 cards are revealed...&#10;&#10;",30,10,30,Auf falscher Fährte,30,2001,,Card,Jürgen Kraul,,Trick-taking,Berliner Spielkarten,6.50103,97,3-4 Players
1324,The card game version of the 1989 Spiel des Jahres boardgame &quot;Caf&eacute; International&quot;.&#10;&#10;Five table cards are laid out to form the &quot;Caf&eacute;&quot;. Players then place 1 to 3 guest cards from their hand to the Caf&eacute; scoring points for placement.  Bonuses are given if only 1 nationality is seated at a given table.  Once a table is full all the guests and the table itself are removed from play and a new table is put in it's place from the table draw pile.  Multiple scoring opportunities occur when a guest card is placed between tables with several guests at each.&#10;&#10;,45,10,45,Café International: Das Kartenspiel,45,2001,Oliver Freudenreich,Card,"Rudi Hoffmann,Roland Siegers",Café International,Hand Management,"AMIGO Spiel + Freizeit GmbH,Kaissa Chess & Games,Midgaard Games",5.72467,703,5-6 Players
1329,"Hyle (or Entropy) is played on a board with 5x5 spaces. During each round one player (Chaos) randomly draws and places colored wooden disks on a vinyl/cloth map. After a disk is placed, the other player (Order) may move any disk on the grid horizontally or vertically in order to form palindromes (sequences of colors that run the same forward as backward, for example, red/blue/yellow/blue/red).&#10;&#10;The game is played over two rounds (so that each player assumes each role once) and points are awarded to Order equal to the length of the palindromes formed: blue/blue=2 points, blue/red/blue=3 points, etc. (Note that blue/blue/blue is worth 7 points because it contains two 2-point palindromes and one 3-point palindrome.)&#10;&#10;Hyle 7 is the same game on a 7x7 grid instead of 5x5.&#10;&#10;",45,10,45,Hyle,45,1979,Franz-Josef Schulte,Strategy,Eric Solomon,5x5 grid,"Grid Movement,Pattern Building,Tile Placement,Variable Player Powers","franjos Spieleverlag,Selchow & Righter,Skirrid Company of Great Britain, Ltd.,Thinx Games",6.72962,157,1-2 Players
